name,type,url,recommended_style,tech_tags
Data Analysis and Visualization by Georgia Tech,Online Course,https://www.udacity.com/course/data-analysis-and-visualization--ud404,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Analysis, Beginners"
Data Analysis with R by Facebook,Online Course,https://www.udacity.com/course/data-analysis-with-r--ud651,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Analysis, Beginners, R"
Data Analysis with Python Certification by freeCodeCamp,Online Course,https://www.freecodecamp.org/learn/data-analysis-with-python/,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Analysis, Beginners, Python"
Data Analysis and Prediction Algorithms with R by Rafael A. Irizarry,Book,https://rafalab.github.io/dsbook/,Reading/Writing,"Data Analysis, Beginners, R"
Data Analysis with Python: Zero to Pandas,Video,https://jovian.ai/learn/data-analysis-with-python-zero-to-pandas,Visual,"Data Analysis, Beginners, Python"
"Python Data Analysis by Scott Rixner, Joe Warren",Online Course,https://www.coursera.org/learn/python-analysis,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Analysis, Beginners, Python"
Intro to Data Analysis by Udacity,Online Course,https://www.udacity.com/course/intro-to-data-analysis--ud170,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Analysis, Beginners"
Python for Data Analysis by Wes McKinney,Book,https://wesmckinney.com/book/,Reading/Writing,"Data Analysis, Beginners, Python"
Ad Hoc Data Analysis From The Unix Command Line by Wikibooks,Book,https://en.wikibooks.org/wiki/Ad_Hoc_Data_Analysis_From_The_Unix_Command_Line,Reading/Writing,"Data Analysis, Beginners, linux"
Data Science Fundamentals by CognitiveClass.ai,Online Course,https://cognitiveclass.ai/learn/data-science,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
Data Science Methodology by CognitiveClass.ai,Online Course,https://cognitiveclass.ai/courses/data-science-methodology-2,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
Data Science Foundations by IBM SkillBuild,Online Course,https://skillsbuild.org/students/course-catalog/data-science,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners, IBM"
Data Science Tutorial by W3Schools,Online Course,https://www.w3schools.com/datascience/default.asp,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
Data science for beginners by Microsoft,Online Course,https://microsoft.github.io/Data-Science-For-Beginners,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners, Microsoft"
